epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.31908536645082325,0.8111587982832618,1.0,3.3333333333333333e-06
2,0.19583002048043105,0.6094420600858369,0.75,6.666666666666667e-06
3,0.12236357401483335,0.5622317596566524,0.5,1e-05
4,0.07482783077284694,0.5321888412017167,0.5,9.988834393115768e-06
5,0.05092509579844773,0.575107296137339,0.625,9.955387440773902e-06
6,0.036784133076882705,0.5536480686695279,0.5,9.899808525182935e-06
7,0.02779429842485115,0.5708154506437768,0.5,9.822345875271884e-06
8,0.02102345335207736,0.5579399141630901,0.5,9.723345458039595e-06
9,0.01567783129016439,0.6523605150214592,0.75,9.603249433382145e-06
10,0.011739191928287394,0.592274678111588,0.75,9.462594179299408e-06
11,0.008565609437377693,0.6566523605150214,0.75,9.302007896300697e-06
12,0.006390559201043708,0.6437768240343348,0.75,9.122207801708802e-06
13,0.0047419974076687,0.6566523605150214,0.75,8.923996926393306e-06
14,0.003519902751297475,0.6652360515021459,0.75,8.708260528239788e-06
15,0.0026947446872677226,0.6437768240343348,0.75,8.475962138373212e-06
16,0.0021265128049820373,0.6866952789699571,0.75,8.228139257794012e-06
