epoch,train_loss,train_acc,val_loss,val_win_bal_acc,val_rec_bal_acc,lr
1,0.6101119331549854,0.4768,0.44320724868192973,0.6255868544600939,0.7083333333333333,3.3550488599348537e-06
2,0.20729906452860877,0.753,0.3137657257123882,0.7212155044085653,0.8263888888888888,6.710097719869707e-06
3,0.08148257396916916,0.9024,0.35228279463403406,0.7558971716477728,0.7638888888888888,9.999995748265938e-06
4,0.014504572583302611,0.9857,0.6254337238652535,0.7514456658651094,0.7708333333333333,9.988285733322246e-06
5,0.0013725492035951373,0.9994,0.4642134450922702,0.7994961639757243,0.8194444444444444,9.954083687389543e-06
6,0.0001303885925395288,1.0,0.5342687533585394,0.7759361044314669,0.7638888888888888,9.897543826468702e-06
7,3.7449698704667806e-05,1.0,0.549655897656431,0.7785125386465133,0.7638888888888888,9.818921087099435e-06
8,2.422572783080796e-05,1.0,0.5670882813752071,0.7805450589717164,0.7638888888888888,9.718569976859068e-06
9,1.8088021223977637e-05,1.0,0.5674267005409374,0.7823056223519982,0.7638888888888888,9.596942975898493e-06
10,1.4227726643409026e-05,1.0,0.5842074471388401,0.784610099622123,0.7638888888888888,9.45458849672272e-06
11,1.1638748531388658e-05,1.0,0.5860365791868786,0.7843381426772014,0.7638888888888888,9.292148411415309e-06
12,9.630758559657673e-06,1.0,0.5924080742752199,0.7860987060574831,0.7638888888888888,9.110355157456373e-06
13,8.25016394609365e-06,1.0,0.5962616726583506,0.789891789762968,0.8194444444444444,8.910028435183906e-06
14,7.04952870374873e-06,1.0,0.6075817215454641,0.7901637467078897,0.7638888888888888,8.692071511789521e-06
15,6.173222694622505e-06,1.0,0.6104051249297693,0.7901637467078897,0.7638888888888888,8.45746714851372e-06
16,5.4707641000123175e-06,1.0,0.6158061997406988,0.793684873468453,0.8194444444444444,8.207273169404892e-06
17,4.820463777596791e-06,1.0,0.6255340227440587,0.788403183327608,0.7638888888888888,7.942617691622363e-06
18,4.3315686860795104e-06,1.0,0.6289363129643677,0.7919243100881713,0.8194444444444444,7.664694038789904e-06
19,3.938899766206471e-06,1.0,0.6312639985436956,0.793684873468453,0.8194444444444444,7.374755360335253e-06
20,3.5647884250771473e-06,1.0,0.634754617212296,0.793684873468453,0.8194444444444444,7.074108981076859e-06
21,3.2699563393447434e-06,1.0,0.6442832776608441,0.7957173937936562,0.8194444444444444,6.764110506535444e-06
22,3.0000206452860527e-06,1.0,0.6429652015207824,0.793684873468453,0.8194444444444444,6.446157710549294e-06
23,2.7757585000879584e-06,1.0,0.6452729946536516,0.793684873468453,0.8194444444444444,6.121684232753882e-06
24,2.596943808675637e-06,1.0,0.6497192823404414,0.7954454368487347,0.8194444444444444,5.792153114343688e-06
25,2.4195282716845124e-06,1.0,0.6518190157969294,0.7939568304133746,0.8194444444444444,5.459050201263266e-06
26,2.275369109921723e-06,1.0,0.656060718280075,0.7939568304133746,0.8194444444444444,5.123877444572372e-06
27,2.1333941241661053e-06,1.0,0.6581923518050536,0.7919243100881713,0.8194444444444444,4.788146128193617e-06
28,2.0305788452255004e-06,1.0,0.6617719866746098,0.7921962670330929,0.8194444444444444,4.45337005457852e-06
29,1.911770607608116e-06,1.0,0.6652200752612574,0.7939568304133746,0.8194444444444444,4.121058719017584e-06
30,1.8185801852546374e-06,1.0,0.6661078123292987,0.793684873468453,0.8194444444444444,3.792710503371232e-06
31,1.7410100239413327e-06,1.0,0.6685752899272719,0.7901637467078897,0.8194444444444444,3.4698059199108838e-06
32,1.6700650847280459e-06,1.0,0.6704217647411996,0.7904357036528111,0.7638888888888888,3.153800935733441e-06
33,1.6091939526571469e-06,1.0,0.6725036808212583,0.788403183327608,0.7638888888888888,2.8461204078492655e-06
34,1.5475141800052556e-06,1.0,0.6734545539606157,0.7919243100881713,0.8194444444444444,2.5481516585445776e-06
35,1.4985812223763344e-06,1.0,0.6780874380277409,0.7904357036528111,0.7638888888888888,2.261238219986825e-06
