epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.1754687445902685,0.5,0.5,3.3333333333333333e-06
2,0.17394007498409317,0.5,0.5,6.666666666666667e-06
3,0.17266526635278734,0.5556573522675218,0.55,1e-05
4,0.1704836859863404,0.5278057718735685,0.5,9.997377845227577e-06
5,0.16378829806868794,0.5067796610169492,0.5,9.98951413118856e-06
6,0.1574032044375849,0.5050847457627119,0.5,9.97641710583307e-06
7,0.15292245519962924,0.5,0.5,9.958100506132127e-06
8,0.14874980171695787,0.5,0.5,9.934583543669454e-06
9,0.1449383439289199,0.5033898305084745,0.5,9.905890884491196e-06
10,0.14022216867459447,0.5206825469537334,0.5,9.872052623234632e-06
11,0.13486284488125852,0.581539166284929,0.55,9.833104251563058e-06
12,0.12677921341699466,0.6183463124141091,0.65,9.789086620939936e-06
13,0.12061278391302678,0.6584058634906093,0.7,9.740045899781353e-06
14,0.11406189181477006,0.6220338983050848,0.6166666666666667,9.68603352503172e-06
15,0.10689313304528855,0.5669720568025653,0.5833333333333333,9.627106148213521e-06
16,0.10055255702538797,0.44853412734768666,0.35,9.563325576007702e-06
17,0.09487085373342385,0.4238204306000916,0.45,9.494758705426978e-06
18,0.0903074039440406,0.44202931745304624,0.45,9.421477453650118e-06
19,0.08491440213214584,0.4872881355932203,0.5,9.343558682590757e-06
20,0.08385711200317444,0.49491525423728816,0.5,9.261084118279846e-06
21,0.08041814966290667,0.49830508474576274,0.5,9.174140265146356e-06
22,0.0771657329335896,0.5,0.5,9.082818315286054e-06
23,0.07523801562251055,0.5,0.5,8.987214052813605e-06
24,0.07163838105417832,0.5,0.5,8.887427753398249e-06
25,0.07169590526592662,0.5,0.5,8.783564079088478e-06
26,0.06895187431783006,0.5,0.5,8.675731968536004e-06
27,0.06889011292603978,0.5,0.5,8.564044522734147e-06
28,0.06787974475637863,0.5,0.5,8.448618886390523e-06
29,0.06748885112373453,0.5,0.5,8.329576125058406e-06
30,0.06590076446620344,0.5,0.5,8.207041098155701e-06
31,0.06304004988279084,0.5,0.5,8.081142328004638e-06
32,0.061600584634824804,0.5,0.5,7.952011865029614e-06
33,0.06093728987837744,0.5,0.5,7.819785149254534e-06
34,0.06153023037079133,0.5,0.5,7.68460086824492e-06
