run_id,cv_type,extractor,mode,label,aug_overlap,norm,lr,wd,dropout,epochs,batch_size,bal_acc,acc,sensitivity,specificity,n_samples
20260402_1359_lora_reve,subject-level,reve,lora,?,,none,5e-05,0.01,0.5,200,1,0.4554,0.5571,0.2857,0.625,70
20260402_1416_lp_reve,subject-level,reve,lp,?,,none,0.005,0.01,0.05,50,4,0.5357,0.6,0.4286,0.6429,70
20260402_1428_lp_reve,subject-level,reve,lp,?,,zscore,0.001,0.01,0.05,50,4,0.3393,0.5,0.0714,0.6071,70
20260402_1431_lp_reve,subject-level,reve,lp,?,,none,0.001,0.01,0.05,50,4,0.5268,0.5857,0.4286,0.625,70
20260402_1501_lp_reve,subject-level,reve,lp,?,,none,0.001,0.01,0.05,50,4,0.5,0.5857,0.3571,0.6429,70
20260402_1506_lp_reve,subject-level,reve,lp,?,,none,0.001,0.01,0.05,50,4,0.5268,0.5857,0.4286,0.625,70
20260402_1507_lp_reve,subject-level,reve,lp,?,,none,0.001,0.01,0.05,50,4,0.4821,0.6429,0.2143,0.75,70
20260402_1518_lp_reve,subject-level,reve,lp,?,,none,0.001,0.01,0.05,50,4,0.5,0.5857,0.3571,0.6429,70
20260402_1524_trial_t60_reve,trial-level,reve,?,60.0,,none,0.001,0.01,0.0,50,4,0.55,0.5714,0.7,0.4,70
20260402_1525_trial_t50_reve,trial-level,reve,?,50.0,,none,0.001,0.01,0.0,50,4,0.5951,0.5857,0.5652,0.625,70
20260402_1526_trial_t55_reve,trial-level,reve,?,55.0,,none,0.001,0.01,0.0,50,4,0.522,0.5143,0.4884,0.5556,70
20260402_1526_trial_t65_reve,trial-level,reve,?,65.0,,none,0.001,0.01,0.0,50,4,0.5543,0.5714,0.5,0.6087,70
20260402_1527_trial_t70_reve,trial-level,reve,?,70.0,,none,0.001,0.01,0.0,50,4,0.4947,0.6,0.2778,0.7115,70
