epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.7198025252401214,0.6083333333333334,0.625,0.0004999691581204152
2,0.6782056517207745,0.6083333333333334,0.6875,0.0004998766400914329
3,0.6541178078995538,0.59375,0.5,0.0004997224687404926
4,0.6308401457427704,0.5802083333333333,0.5625,0.0004995066821070679
5,0.604590342216885,0.5895833333333333,0.75,0.000499229333433282
6,0.5864197909832001,0.5135416666666667,0.5625,0.00049889049115077
7,0.5837553309411118,0.5604166666666667,0.625,0.0004984902388637949
8,0.5608849353397015,0.5291666666666667,0.5,0.0004980286753286195
9,0.5404493848687595,0.5145833333333334,0.5,0.0004975059144291394
10,0.5369950151935066,0.5427083333333333,0.5,0.0004969220851487844
11,0.49969161140550045,0.5114583333333333,0.4375,0.0004962773315386935
12,0.47437123170832995,0.5,0.4375,0.0004955718126821722
13,0.4660879711514896,0.49375,0.5,0.0004948057026554415
14,0.44643136336631384,0.5135416666666667,0.5625,0.0004939791904846869
15,0.44631765091542114,0.5145833333333333,0.5,0.0004930924800994192
16,0.43373859205196813,0.51875,0.5625,0.0004921457902821578
17,0.4337865249397828,0.5510416666666667,0.625,0.0004911393546144495
