epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.2946350316942474,0.635375163478208,0.9583333333333333,9.999999999999999e-06
2,0.23217184878425834,0.6046108458286444,0.8333333333333333,1.9999999999999998e-05
3,0.17653842371555023,0.535828340277989,0.6666666666666666,3e-05
4,0.14310738462724804,0.487742936220688,0.5416666666666666,2.99665031793473e-05
5,0.117476994148743,0.4736609994221236,0.375,2.9866162322321703e-05
6,0.0929510120164465,0.4823291462635725,0.3333333333333333,2.9699425575548802e-05
7,0.06443947029334528,0.38457678153228503,0.45833333333333337,2.946703762581565e-05
8,0.03876687602404459,0.3969402962377201,0.45833333333333337,2.917003637411878e-05
9,0.021453605251915663,0.4004987986252623,0.45833333333333337,2.880974830014643e-05
10,0.01099973287789818,0.43033547249003923,0.45833333333333337,2.838778253789822e-05
11,0.005013496132084617,0.4546062836460963,0.5,2.790602368890209e-05
12,0.002600468800081239,0.4388363393047234,0.5,2.7366623405126405e-05
13,0.0015116659306380668,0.4351257641655768,0.45833333333333337,2.6771990779179916e-05
14,0.0010081660990563027,0.43605340795036346,0.45833333333333337,2.6124781584719365e-05
15,0.0007306002614010746,0.4332704765960035,0.5,2.5427886415119635e-05
16,0.000555561631946698,0.44254691444386995,0.5,2.4684417773382037e-05
