epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17642691971471647,0.5716983606557378,0.8636363636363636,3.3333333333333333e-06
2,0.17003026474642274,0.566327868852459,0.45454545454545453,6.666666666666667e-06
3,0.1610339585966712,0.5639409836065574,0.5,1e-05
4,0.15162802542616058,0.5419606557377049,0.5,9.988834393115768e-06
5,0.1443038401287674,0.5225704918032786,0.5,9.955387440773902e-06
6,0.1386618532690426,0.5113770491803279,0.5,9.899808525182935e-06
7,0.13375993353008425,0.5101770491803278,0.5,9.822345875271884e-06
8,0.12975196850379841,0.5197704918032787,0.5,9.723345458039595e-06
9,0.12599587095463835,0.5011803278688525,0.5,9.603249433382145e-06
10,0.12293440123532443,0.5311672131147541,0.5,9.462594179299408e-06
11,0.11953623352834843,0.48339016393442624,0.5,9.302007896300697e-06
12,0.11692745608571392,0.5489573770491804,0.5,9.122207801708802e-06
13,0.11416925464900549,0.5259672131147541,0.5,8.923996926393306e-06
14,0.11167563137992116,0.5399606557377049,0.5,8.708260528239788e-06
15,0.10957431383180938,0.5381639344262296,0.5,8.475962138373212e-06
16,0.10740123426654195,0.5483540983606557,0.5,8.228139257794012e-06
