epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17415498365771095,0.5841884328358209,0.625,3.3333333333333333e-06
2,0.1682465340731279,0.6397699004975124,0.6875,6.666666666666667e-06
3,0.1613434797750329,0.6755286069651741,0.6875,1e-05
4,0.1543114497414175,0.6919309701492538,0.75,9.988834393115768e-06
5,0.14885569138909285,0.7061567164179104,0.8125,9.955387440773902e-06
6,0.14192816755681667,0.7097325870646767,0.8125,9.899808525182935e-06
7,0.13389293371506458,0.7140858208955223,0.75,9.822345875271884e-06
8,0.12491028545037755,0.7042910447761195,0.8125,9.723345458039595e-06
9,0.11605565137458297,0.6944962686567164,0.8125,9.603249433382145e-06
10,0.10682222542335403,0.6952736318407959,0.8125,9.462594179299408e-06
11,0.09936992416404328,0.7026585820895522,0.8125,9.302007896300697e-06
12,0.09352602851840686,0.7028140547263682,0.875,9.122207801708802e-06
13,0.08531264138390433,0.7130752487562189,0.8125,8.923996926393306e-06
14,0.08040446619380195,0.7299440298507462,0.875,8.708260528239788e-06
15,0.07408817808301944,0.6956623134328358,0.8125,8.475962138373212e-06
16,0.06765337334067192,0.7184390547263682,0.875,8.228139257794012e-06
17,0.06386956171888225,0.7310323383084577,0.875,7.965898723646777e-06
18,0.05936663573221216,0.7252021144278606,0.875,7.690411765816864e-06
19,0.054158173185193316,0.7065453980099503,0.8125,7.402908775933419e-06
20,0.05058817667359451,0.7188277363184079,0.8125,7.104673812141676e-06
21,0.04791319510846768,0.7269123134328358,0.875,6.797038864187564e-06
22,0.04476651338473806,0.7180503731343284,0.875,6.481377904428171e-06
23,0.03760794223338928,0.7299440298507462,0.875,6.1591007513376425e-06
24,0.0328295424861728,0.7251243781094527,0.875,5.831646772915651e-06
25,0.030104056703594496,0.7203047263681592,0.875,5.500478458120493e-06
26,0.027263451191895414,0.7418376865671642,0.875,5.1670748850383734e-06
27,0.02545144405426844,0.7132307213930348,0.8125,4.832925114961629e-06
28,0.022115215940295526,0.7332866915422885,0.875,4.499521541879508e-06
29,0.021471795959855027,0.7465796019900497,0.875,4.1683532270843505e-06
30,0.018578362756602046,0.7359297263681592,0.875,3.840899248662358e-06
31,0.016247959508789035,0.7362406716417911,0.875,3.518622095571831e-06
32,0.014719077060877715,0.7374067164179104,0.875,3.202961135812437e-06
33,0.014063886977415884,0.7359297263681592,0.875,2.8953261878583263e-06
