epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.288641119390453,0.4773547751887102,0.4765625,3.3333333333333333e-06
2,0.18819578434706358,0.47866754184443716,0.48046875,6.666666666666667e-06
3,0.17277297161740574,0.4930990493427241,0.47890625,1e-05
4,0.16714920272585818,0.5350392662787872,0.54375,9.988834393115768e-06
5,0.1677495458376241,0.5288643881834523,0.528125,9.955387440773902e-06
6,0.16592378773276303,0.45173934715949426,0.45,9.899808525182935e-06
7,0.16517848138539787,0.4643984136945181,0.45078125,9.822345875271884e-06
8,0.1654482835881009,0.426312732326055,0.428125,9.723345458039595e-06
9,0.16498001718838384,0.42680501982195257,0.42421875,9.603249433382145e-06
10,0.16409387445990745,0.4609369528708531,0.459375,9.462594179299408e-06
11,0.16595237152439657,0.4025188366910041,0.4046875,9.302007896300697e-06
12,0.16734380128079893,0.4143337365925466,0.4125,9.122207801708802e-06
13,0.16614302959988775,0.4235231031826352,0.42421875,8.923996926393306e-06
14,0.16543378457296998,0.44255821969067594,0.44375,8.708260528239788e-06
15,0.16830185243622586,0.416302886576137,0.4125,8.475962138373212e-06
16,0.16703490228644113,0.4581473237274334,0.45546875,8.228139257794012e-06
17,0.1647977317873564,0.4246717740063963,0.42421875,7.965898723646777e-06
18,0.16388950144862316,0.41860022822365917,0.4203125,7.690411765816864e-06
19,0.16330064694684837,0.47078270278880524,0.47109375,7.402908775933419e-06
20,0.16555759001581768,0.45306035293649144,0.4515625,7.104673812141676e-06
