epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17533314904523276,0.48124999999999996,0.5625,3.3333333333333333e-06
2,0.17182354673979774,0.44687499999999997,0.375,6.666666666666667e-06
3,0.16317176877979248,0.46354166666666663,0.5,1e-05
4,0.14765860977626982,0.44166666666666665,0.3125,9.988834393115768e-06
5,0.1344064127831232,0.4614583333333333,0.4375,9.955387440773902e-06
6,0.12157884009093756,0.47395833333333337,0.4375,9.899808525182935e-06
7,0.11387336677575986,0.45729166666666665,0.375,9.822345875271884e-06
8,0.11090545678060383,0.45416666666666666,0.375,9.723345458039595e-06
9,0.10012318739251304,0.45729166666666665,0.375,9.603249433382145e-06
10,0.1024569046381022,0.45625000000000004,0.375,9.462594179299408e-06
11,0.09182839953647336,0.44166666666666665,0.375,9.302007896300697e-06
12,0.07912015416194274,0.46562499999999996,0.375,9.122207801708802e-06
13,0.06539389776131459,0.4614583333333333,0.375,8.923996926393306e-06
14,0.04906102422680147,0.4354166666666667,0.375,8.708260528239788e-06
15,0.03628823992143196,0.4552083333333333,0.375,8.475962138373212e-06
16,0.02567952973223104,0.43437499999999996,0.5,8.228139257794012e-06
