predictor,arm,n,rho,ci_low,ci_high,p
frozen_label_frac,within,9,-0.25,-0.6869701086956522,0.5428571428571429,0.5164895523012261
frozen_label_frac,within_strict,6,-0.14285714285714288,-1.0,1.0,0.7871720116618076
frozen_label_frac,between,9,0.5666666666666667,-0.1111111111111111,0.9816513761467889,0.1116329876114912
frozen_label_frac,pooled,18,0.21775025799793604,-0.23640167364016737,0.6167815998216739,0.3853959643781131
frozen_subject_frac,within,9,-0.45,-0.894736842105263,0.5413237221494095,0.22421610749233675
frozen_subject_frac,within_strict,6,0.028571428571428574,-1.0,1.0,0.9571545189504373
frozen_subject_frac,between,9,-0.19999999999999998,-0.8533409109361044,0.9454545454545454,0.6059012741795534
frozen_subject_frac,pooled,18,-0.23632610939112486,-0.6830056995799445,0.3908978350077821,0.3451012488097786
subject_to_label_ratio,within,9,0.06666666666666667,-0.7143530997304581,0.6666666666666666,0.8646897846262036
subject_to_label_ratio,within_strict,6,0.14285714285714288,-1.0,1.0,0.7871720116618076
subject_to_label_ratio,between,9,-0.6333333333333333,-0.9473684210526315,0.017543859649122806,0.06708578689234572
subject_to_label_ratio,pooled,18,-0.29205366357069146,-0.7113046130035022,0.19293029848800802,0.23960176390544208
rsa_subject,within,9,0.13333333333333333,-0.631578947368421,0.9487179487179486,0.7323675052362973
rsa_subject,within_strict,6,-0.08571428571428573,-1.0,1.0,0.8717434402332361
rsa_subject,between,9,0.16666666666666669,-0.7368421052631579,0.8928571428571428,0.668231040071504
rsa_subject,pooled,18,0.1455108359133127,-0.40292822087901276,0.6593599351966491,0.5645405304670835
rsa_label,within,9,-0.5,-0.982608695652174,0.4201521739130413,0.1704706607870538
rsa_label,within_strict,6,0.08571428571428573,-1.0,1.0,0.8717434402332361
rsa_label,between,9,0.6,-0.12074258923169989,0.9272727272727272,0.08762282904140249
rsa_label,pooled,18,-0.1496388028895769,-0.6460765127948092,0.42353925080213817,0.5534228921214378
subject_id_ba_lr,within,9,-0.016666666666666666,-0.7391304347826088,0.810344827586207,0.9660548039946862
subject_id_ba_lr,within_strict,6,0.6,-0.5000000000000001,1.0,0.208
subject_id_ba_lr,between,9,0.7,0.11304347826086958,0.9824561403508772,0.03576957497026173
subject_id_ba_lr,pooled,18,0.3065015479876161,-0.25026178010471206,0.7770769256046268,0.2160637946112576
subject_id_ba_mlp,within,9,0.2333333333333333,-0.5614035087719298,0.8596491228070176,0.5456987782182728
subject_id_ba_mlp,within_strict,6,0.3142857142857143,-1.0,1.0,0.5440932944606415
subject_id_ba_mlp,between,9,0.5857791861290061,-0.19307242465137195,0.9444444444444444,0.09743391135780582
subject_id_ba_mlp,pooled,18,0.34279818713830124,-0.15230458151792794,0.7282165133651538,0.16374596205432806
permanova_pseudo_F,within,9,0.0,-0.6842105263157895,0.7948717948717948,1.0
permanova_pseudo_F,within_strict,6,0.2,-1.0,1.0,0.7040000000000001
permanova_pseudo_F,between,9,0.26666666666666666,-0.5898230088495574,0.8421052631578948,0.48792227483870076
permanova_pseudo_F,pooled,18,-0.05056759545923632,-0.48953974895397495,0.41869478387435244,0.8420557303322882
hhsa_median_g,within,9,-0.26352313834736496,-0.8699176724016802,0.5998814087381853,0.49325971044899664
hhsa_median_g,within_strict,6,0.29277002188455997,-0.8660254037844388,0.9486832980505139,0.5733922538253555
hhsa_median_g,between,3,,,,
hhsa_median_g,pooled,12,0.10795837927188262,-0.5496660596031093,0.727560920996576,0.7384067613269684
