dataset,fm,permanova_pseudo_F,permanova_R2,permanova_p,source
stress,labram,2.950322268911337,0.05273110411645791,0.522,variance_analysis_all.json
stress,cbramod,1.7737689265743475,0.032383547112708834,0.59,variance_analysis_all.json
stress,reve,1.9611990681640772,0.035683338453583506,0.46,variance_analysis_all.json
eegmat,labram,3.2663483027196754,0.04458183570476144,0.005,computed
eegmat,cbramod,2.7928767764363385,0.03836744610346841,0.005,computed
eegmat,reve,1.7409465165156277,0.024267124996947744,0.005,computed
sleepdep,labram,0.708448145323312,0.01001928572760183,0.775,computed
sleepdep,cbramod,0.8439751984653903,0.01191315416873547,0.705,computed
sleepdep,reve,1.685410983663822,0.02351121323762663,0.22,computed
adftd,labram,5.444824668999148,0.027437473756652387,0.038,variance_analysis_all.json
adftd,cbramod,1.6150374038208726,0.008298625971382234,0.582,variance_analysis_all.json
adftd,reve,2.0622917962183176,0.010572478038824619,0.39,variance_analysis_all.json
tdbrain,labram,18.52594989130417,0.024683956489428796,0.002,variance_analysis_all.json
tdbrain,cbramod,13.63172384863708,0.018282113559058163,0.004,variance_analysis_all.json
tdbrain,reve,0.2628504580282303,0.000358956429189079,0.718,variance_analysis_all.json
meditation,labram,1.8557590157296289,0.046561878673474215,0.355,computed
meditation,cbramod,11.263856137004815,0.22864341162574783,0.015,computed
meditation,reve,0.34466047342259537,0.008988486771488979,0.73,computed
