dataset,fm,rsa_subject,rsa_label,n,source
stress,labram,0.2836801674051029,-0.003530219582060241,70,computed
stress,cbramod,0.20840425783446856,-0.050748650671751376,70,computed
stress,reve,0.1849721586265462,-0.013898891829189386,70,computed
eegmat,labram,0.1193890902928478,0.073054636117125,72,computed
eegmat,cbramod,0.14553202982480595,0.03580824713600784,72,computed
eegmat,reve,0.1169547821539856,0.013816131132919882,72,computed
sleepdep,labram,0.053514282246743254,-0.005136372386330774,72,computed
sleepdep,cbramod,0.062234594951207096,-0.005750446227273479,72,computed
sleepdep,reve,0.0839588827412749,0.017669205855104418,72,computed
adftd,labram,0.12572589309668655,0.03561729594615194,195,computed
adftd,cbramod,0.10468201720767421,0.015248142199548195,195,computed
adftd,reve,0.04535630599362842,0.0019014476390557845,195,computed
tdbrain,labram,0.03978321867904175,0.084341381352334,734,computed
tdbrain,cbramod,0.06157943733405975,0.02368853550924028,734,computed
tdbrain,reve,0.04223889395642611,0.018259104248372997,734,computed
meditation,labram,0.21831387089410798,0.043482959616164794,40,computed
meditation,cbramod,0.13654121977953362,0.19587831913002052,40,computed
meditation,reve,0.14317038081409617,-0.016297568153675175,40,computed
