epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.18176847599032853,0.5,0.5,3.3333333333333333e-06
2,0.16487388178292248,0.875,0.875,6.666666666666667e-06
3,0.157812955064906,0.875,0.875,1e-05
4,0.15384832705474563,0.875,0.875,9.988834393115768e-06
5,0.15224949707173638,0.875,0.875,9.955387440773902e-06
6,0.15224987299491963,0.875,0.875,9.899808525182935e-06
7,0.15217209722225863,0.875,0.875,9.822345875271884e-06
8,0.15203284519828028,0.875,0.875,9.723345458039595e-06
9,0.15125886706842318,0.875,0.875,9.603249433382145e-06
10,0.151382518094033,0.875,0.875,9.462594179299408e-06
11,0.15087252811839183,0.875,0.875,9.302007896300697e-06
12,0.15035436692544155,0.875,0.875,9.122207801708802e-06
13,0.1499772090671791,0.875,0.875,8.923996926393306e-06
14,0.14939010922486584,0.875,0.875,8.708260528239788e-06
15,0.14795512075846393,0.875,0.875,8.475962138373212e-06
16,0.14800578019478255,0.875,0.875,8.228139257794012e-06
17,0.1470608076805042,0.875,0.875,7.965898723646777e-06
18,0.14568301528278324,0.875,0.875,7.690411765816864e-06
19,0.14311711818186773,0.875,0.875,7.402908775933419e-06
