epoch,train_loss,val_loss,val_bal_acc,lr
1,0.16658286253611246,0.1689314916729927,0.625,0.0
2,0.1715972200036049,0.1421745866537094,0.75,0.0006413526055732688
3,0.17515102277199426,0.11792208254337311,0.875,0.0020231049075626548
4,0.24999508199592432,0.15689348429441452,0.625,0.005
5,0.25454044838746387,0.12896015867590904,0.5,0.005
6,0.2027785157163938,0.16876928135752678,0.5,0.005
7,0.1653913607199987,0.12624048441648483,0.875,0.005
8,0.16591730465491614,0.12738292664289474,0.875,0.005
9,0.17202962438265482,0.136172316968441,0.875,0.005
10,0.1817754258712133,0.14497793838381767,0.875,0.005
11,0.1675498684247335,0.14243438094854355,0.875,0.005
12,0.17148916920026144,0.1313122622668743,0.75,0.005
13,0.17259522279103598,0.144844189286232,0.875,0.005
14,0.1694159284234047,0.14421528205275536,0.875,0.0025
15,0.1661632259686788,0.13903512805700302,0.875,0.0025
16,0.16361859192450842,0.1328619346022606,0.875,0.0025
17,0.16859469562768936,0.12689505517482758,0.875,0.0025
18,0.16414022942384085,0.12914429977536201,0.875,0.0025
19,0.17339208722114563,0.13341104239225388,0.875,0.0025
20,0.16566151132186255,0.13238269463181496,0.875,0.00125
21,0.16450445602337518,0.13052404671907425,0.875,0.00125
22,0.16493437935908636,0.13040079921483994,0.875,0.00125
23,0.16357853511969248,0.1315632201731205,0.875,0.00125
24,0.16628063718477884,0.1317366510629654,0.875,0.00125
