epoch,train_loss,val_win_bal_acc,val_bal_acc,lr
1,0.17430697823800737,0.5,0.5,3.3333333333333333e-06
2,0.17328152784279416,0.465625,0.5,6.666666666666667e-06
3,0.17266583364634286,0.446875,0.4375,1e-05
4,0.17154036069673206,0.49375,0.5,9.988834393115768e-06
5,0.16989121027882137,0.50625,0.5,9.955387440773902e-06
6,0.16897794520334591,0.5125,0.5,9.899808525182935e-06
7,0.16812577167200662,0.49166666666666664,0.4375,9.822345875271884e-06
8,0.16664110553406533,0.48854166666666665,0.4375,9.723345458039595e-06
9,0.16533693929040244,0.5114583333333333,0.4375,9.603249433382145e-06
10,0.16438084941298242,0.5375,0.4375,9.462594179299408e-06
11,0.16291828373121836,0.5822916666666667,0.5625,9.302007896300697e-06
12,0.1623431672297773,0.6104166666666666,0.625,9.122207801708802e-06
13,0.16171345711937027,0.6510416666666666,0.625,8.923996926393306e-06
14,0.16115715205669404,0.6312500000000001,0.75,8.708260528239788e-06
15,0.15986997056456786,0.6729166666666666,0.75,8.475962138373212e-06
16,0.1594730774443301,0.6604166666666667,0.75,8.228139257794012e-06
17,0.1596649667928143,0.6708333333333334,0.75,7.965898723646777e-06
18,0.15866528153419496,0.68125,0.75,7.690411765816864e-06
19,0.15786589768434328,0.6739583333333333,0.75,7.402908775933419e-06
20,0.15719109918508264,0.6677083333333333,0.625,7.104673812141676e-06
21,0.15680848743234363,0.6104166666666667,0.5625,6.797038864187564e-06
22,0.1555619318806936,0.621875,0.625,6.481377904428171e-06
23,0.15407223477368318,0.6104166666666666,0.625,6.1591007513376425e-06
24,0.15265518310405904,0.571875,0.5625,5.831646772915651e-06
25,0.15232059814863735,0.5927083333333333,0.5625,5.500478458120493e-06
26,0.15195592696822824,0.5770833333333333,0.5625,5.1670748850383734e-06
27,0.15102917011531572,0.5822916666666667,0.5625,4.832925114961629e-06
28,0.15368178642340122,0.5677083333333333,0.5625,4.499521541879508e-06
29,0.15197021157613821,0.5802083333333333,0.5625,4.1683532270843505e-06
30,0.14813770269827237,0.559375,0.5625,3.840899248662358e-06
31,0.14865947829352485,0.5614583333333333,0.5,3.518622095571831e-06
