epoch,train_loss,val_loss,val_bal_acc,lr
1,0.1720628630031239,0.1704169511795044,0.75,0.0
2,0.18717052177949386,0.16951735690236092,0.6875,0.0006413526055732688
3,0.18545299497517673,0.19032351672649384,0.5,0.0020231049075626548
4,0.20093654908917166,0.1677854359149933,0.6875,0.005
5,0.17628566514361987,0.16817163676023483,0.5,0.005
6,0.16987213763323697,0.17430493980646133,0.5625,0.005
7,0.16295277665961871,0.1739029623568058,0.5,0.005
8,0.17082038792696866,0.17273037880659103,0.5625,0.005
9,0.17684498022903095,0.19368715211749077,0.375,0.005
10,0.1955713087862188,0.16991110518574715,0.625,0.005
11,0.16606087847189469,0.17128261551260948,0.6875,0.0025
12,0.16311145506121896,0.17328773438930511,0.5,0.0025
13,0.1621170233596455,0.1726103611290455,0.5625,0.0025
14,0.16058574684641577,0.17357363551855087,0.6875,0.0025
15,0.17494204030795532,0.17233215272426605,0.6875,0.0025
16,0.1541885808110237,0.16858426108956337,0.5,0.0025
