epoch,train_loss,val_loss,val_bal_acc,lr
1,1.253611328249628,1.1975413262844086,0.5,0.0
2,1.5609537782994183,1.1129168570041656,0.5,0.0006413526055732688
3,0.9766138165511868,0.34699293226003647,0.5,0.0020231049075626548
4,1.4736776899573505,0.2330099456012249,0.5,0.005
5,0.24859877608039163,0.47259779646992683,0.375,0.005
6,0.2257245271043344,0.17450568825006485,0.5,0.005
7,0.16490571674975482,0.15632880851626396,0.625,0.005
8,0.17995655062523755,0.1926046870648861,0.5625,0.005
9,0.223080459643494,0.3749587722122669,0.5625,0.005
10,0.1457226730205796,0.15933366119861603,0.4375,0.005
11,0.16807119006460364,0.16393280774354935,0.5,0.005
12,0.1502826288342476,0.22964846715331078,0.375,0.005
13,0.21979027444666083,0.15325019508600235,0.5625,0.005
14,0.156609830531207,0.16273807361721992,0.5,0.0025
15,0.16123554787852548,0.15345682203769684,0.5625,0.0025
16,0.15819686922160062,0.15460848435759544,0.5625,0.0025
17,0.15935961021618408,0.16261804103851318,0.5625,0.0025
18,0.15677591142329303,0.17012248560786247,0.5,0.0025
19,0.1671815047209913,0.18852278217673302,0.5,0.0025
20,0.1651568446647037,0.1886640079319477,0.5,0.00125
21,0.16671162538907744,0.1877897083759308,0.5,0.00125
22,0.1668042963878675,0.1881009005010128,0.5,0.00125
23,0.16754979707977988,0.19170153886079788,0.375,0.00125
24,0.16075572947209532,0.1791582629084587,0.5,0.00125
